source,title,company,location,posted,link,skill_score,skills_found,posting_time,search_query,experience_required,experience_years_min,experience_years_max,experience_match_score,resume_customized,customized_resume_path
LinkedIn,Python AI/ML Developer,Coforge,"Noida, Uttar Pradesh, India",2 weeks ago,https://in.linkedin.com/jobs/view/python-ai-ml-developer-at-coforge-4267494470?position=8&pageNum=0&refId=kkHtA%2FKEJd7NHUjZ3jykKw%3D%3D&trackingId=9VwmrkjHrTB2gl%2BPmAUl0A%3D%3D,9,"python, tensorflow, pytorch, scikit-learn, machine learning, ai, nlp, statistics, algorithms",2025-07-19 20:51:20,,3+ years,3,,10,True,customized_resumes\20250802_2051_Python AI-ML Developer_Coforge\Aharneish_Abburu_Data_Scientist_customized.txt
LinkedIn,Machine Learning Engineer,Adobe,"Bengaluru East, Karnataka, India",3 days ago,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-adobe-4272843897?position=2&pageNum=0&refId=kkHtA%2FKEJd7NHUjZ3jykKw%3D%3D&trackingId=KEYfkhz9636XC1BX6bnB%2Bg%3D%3D,7,"python, tensorflow, pytorch, machine learning, deep learning, ai, git",2025-07-30 20:51:20,,2+ years,2,,10,True,customized_resumes\20250802_2051_Machine Learning Engineer_Adobe\Aharneish_Abburu_Data_Scientist_customized.txt
LinkedIn,Data Scientist,Circle K,"Gurugram, Haryana, India",2 hours ago,https://in.linkedin.com/jobs/view/data-scientist-at-circle-k-4278123433?position=6&pageNum=0&refId=kkHtA%2FKEJd7NHUjZ3jykKw%3D%3D&trackingId=XBqjt2v1hiMfEIzNB%2FIyBg%3D%3D,16,"python, tensorflow, pytorch, scikit-learn, machine learning, ai, data science, pandas, statistics, algorithms, sql, docker, aws, gcp, azure, mlops",2025-08-02 18:51:20,,Senior,5,15,5,True,customized_resumes\20250802_2051_Data Scientist_Circle K\Aharneish_Abburu_Data_Scientist_customized.txt
LinkedIn,Machine Learning Engineer,Adobe,"Noida, Uttar Pradesh, India",3 days ago,https://in.linkedin.com/jobs/view/machine-learning-engineer-at-adobe-4272845837?position=7&pageNum=0&refId=kkHtA%2FKEJd7NHUjZ3jykKw%3D%3D&trackingId=BjPiJBqo%2BgNd2U9x87qprw%3D%3D,12,"python, tensorflow, pytorch, machine learning, deep learning, ai, data science, computer vision, nlp, algorithms, c++, git",2025-07-30 20:51:20,,Senior,5,15,5,True,customized_resumes\20250802_2051_Machine Learning Engineer_Adobe_01\Aharneish_Abburu_Data_Scientist_customized.txt
LinkedIn,Machine Learning Engineer I,Atlassian,"Bengaluru, Karnataka, India",2 weeks ago,https://in.linkedin.com/jobs/view/machine-learning-engineer-i-at-atlassian-4241739590?position=10&pageNum=0&refId=kkHtA%2FKEJd7NHUjZ3jykKw%3D%3D&trackingId=HA%2FuOIMLNYGaSby74XFO2g%3D%3D,8,"python, machine learning, ai, data science, algorithms, java, sql, aws",2025-07-19 20:51:20,,Senior,5,15,5,True,customized_resumes\20250802_2051_Machine Learning Engineer I_Atlassian\Aharneish_Abburu_Data_Scientist_customized.txt
